timestamp,interface,host_name,src_ip,packet_rate,byte_rate,avg_packet_size,tcp_count,udp_count,icmp_count,syn_count,tcp_ratio,udp_ratio,icmp_ratio,severity,attack_type,action,is_blocked,label
2026-04-27 04:48:13,s1-eth1,host1,10.0.0.1,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:13,s1-eth2,host2,10.0.0.2,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:13,s1-eth3,host3,10.0.0.3,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:14,s1-eth4,host4,10.0.0.100,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:15,s1-eth1,host1,10.0.0.1,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:15,s1-eth2,host2,10.0.0.2,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:15,s1-eth3,host3,10.0.0.3,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:15,s1-eth4,host4,10.0.0.100,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:16,s1-eth1,host1,10.0.0.1,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:17,s1-eth2,host2,10.0.0.2,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:17,s1-eth3,host3,10.0.0.3,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:17,s1-eth4,host4,10.0.0.100,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:18,s1-eth1,host1,10.0.0.1,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:18,s1-eth2,host2,10.0.0.2,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:18,s1-eth3,host3,10.0.0.3,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:19,s1-eth4,host4,10.0.0.100,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:20,s1-eth1,host1,10.0.0.1,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:20,s1-eth2,host2,10.0.0.2,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:20,s1-eth3,host3,10.0.0.3,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:20,s1-eth4,host4,10.0.0.100,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:21,s1-eth1,host1,10.0.0.1,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:22,s1-eth2,host2,10.0.0.2,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:22,s1-eth3,host3,10.0.0.3,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:22,s1-eth4,host4,10.0.0.100,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:23,s1-eth1,host1,10.0.0.1,0,0,0,0,0,0,0,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:24,s1-eth2,host2,10.0.0.2,0,0,0,0,0,0,1,0,0,0,normal,normal,allow,0,normal
2026-04-27 04:48:29,s1-eth3,host3,10.0.0.3,4,396,99.0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:48:33,s1-eth4,host4,10.0.0.100,8,716,89.5,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:48:38,s1-eth1,host1,10.0.0.1,8,716,89.5,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:48:42,s1-eth2,host2,10.0.0.2,14,1304,93.14,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:48:46,s1-eth3,host3,10.0.0.3,11,978,88.91,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:48:50,s1-eth4,host4,10.0.0.100,8,756,94.5,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:48:56,s1-eth1,host1,10.0.0.1,13,1246,95.85,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:49:00,s1-eth2,host2,10.0.0.2,1,70,70.0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:49:04,s1-eth3,host3,10.0.0.3,1,70,70.0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:49:08,s1-eth4,host4,10.0.0.100,19,1834,96.53,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:49:13,s1-eth1,host1,10.0.0.1,19,1834,96.53,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:49:18,s1-eth2,host2,10.0.0.2,1,70,70.0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:49:22,s1-eth3,host3,10.0.0.3,0,0,0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:49:26,s1-eth4,host4,10.0.0.100,17,1666,98.0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:49:31,s1-eth1,host1,10.0.0.1,15,1470,98.0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:49:35,s1-eth2,host2,10.0.0.2,0,0,0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:49:39,s1-eth3,host3,10.0.0.3,1,70,70.0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:49:44,s1-eth4,host4,10.0.0.100,15,1442,96.13,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:49:49,s1-eth1,host1,10.0.0.1,1,70,70.0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:49:53,s1-eth2,host2,10.0.0.2,1,70,70.0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:49:57,s1-eth3,host3,10.0.0.3,145,14210,98.0,1,1,1,1,0.333,0.333,0.333,medium,mixed_or_unknown,alert,0,attack
2026-04-27 04:50:01,s1-eth4,host4,10.0.0.100,175,17150,98.0,1,1,1,1,0.333,0.333,0.333,medium,mixed_or_unknown,alert,0,attack
2026-04-27 04:50:07,s1-eth1,host1,10.0.0.1,0,0,0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:50:11,s1-eth2,host2,10.0.0.2,0,0,0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:50:15,s1-eth3,host3,10.0.0.3,175,17150,98.0,1,1,1,1,0.333,0.333,0.333,medium,mixed_or_unknown,alert,0,attack
2026-04-27 04:50:19,s1-eth4,host4,10.0.0.100,176,17248,98.0,1,1,1,1,0.333,0.333,0.333,medium,mixed_or_unknown,alert,0,attack
2026-04-27 04:50:24,s1-eth1,host1,10.0.0.1,0,0,0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:50:28,s1-eth2,host2,10.0.0.2,0,0,0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:50:33,s1-eth3,host3,10.0.0.3,176,17248,98.0,1,1,1,1,0.333,0.333,0.333,medium,mixed_or_unknown,alert,0,attack
2026-04-27 04:50:37,s1-eth4,host4,10.0.0.100,174,17052,98.0,1,1,1,1,0.333,0.333,0.333,medium,mixed_or_unknown,alert,0,attack
2026-04-27 04:50:42,s1-eth1,host1,10.0.0.1,0,0,0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:50:46,s1-eth2,host2,10.0.0.2,0,0,0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:50:50,s1-eth3,host3,10.0.0.3,41,3990,97.32,1,1,1,1,0.333,0.333,0.333,low,mixed_or_unknown,monitor,0,attack
2026-04-27 04:50:54,s1-eth4,host4,10.0.0.100,1,70,70.0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:51:00,s1-eth1,host1,10.0.0.1,1,70,70.0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:51:04,s1-eth2,host2,10.0.0.2,1,70,70.0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:51:08,s1-eth3,host3,10.0.0.3,0,0,0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:51:12,s1-eth4,host4,10.0.0.100,0,0,0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:51:17,s1-eth1,host1,10.0.0.1,0,0,0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:51:22,s1-eth2,host2,10.0.0.2,0,0,0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:51:26,s1-eth3,host3,10.0.0.3,6,444,74.0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:51:30,s1-eth4,host4,10.0.0.100,0,0,0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:51:35,s1-eth1,host1,10.0.0.1,0,0,0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:51:39,s1-eth2,host2,10.0.0.2,0,0,0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:51:44,s1-eth3,host3,10.0.0.3,3,222,74.0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:51:48,s1-eth4,host4,10.0.0.100,0,0,0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:51:53,s1-eth1,host1,10.0.0.1,0,0,0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:51:57,s1-eth2,host2,10.0.0.2,0,0,0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:52:01,s1-eth3,host3,10.0.0.3,1,74,74.0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:52:05,s1-eth4,host4,10.0.0.100,0,0,0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:52:11,s1-eth1,host1,10.0.0.1,0,0,0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
2026-04-27 04:52:15,s1-eth2,host2,10.0.0.2,0,0,0,1,1,1,1,0.333,0.333,0.333,normal,normal,allow,0,normal
